Title	Conference	Year	Author Names
 Enjoying every moment of this trip—pure enjoyment!      	 Facebook 	2023	Enjoyment
 Admiring the dedication of volunteers at a local charity. 	 Twitter  	2023	Admiration
 Sending affectionate vibes to friends and family.        	 Instagram 	2023	Affection
 Awe-struck by the beauty of the night sky.               	 Facebook 	2023	Awe
 Disappointed with the lack of progress in a personal project. 	 Twitter  	2023	Disappointed
 A surprise visit from an old friend brought tears of joy. 	 Instagram 	2023	Surprise
 Embracing acceptance of life's ups and downs.           	 Facebook 	2023	Acceptance
 Overflowing adoration for a cute rescue puppy! 🐶       	 Twitter  	2023	Adoration
 Anticipating the release of a much-awaited movie.       	 Instagram 	2023	Anticipation
 Bitter experience at the customer service department.   	 Facebook 	2023	BitterExperience
 Finding calmness amidst the chaos of daily life.        	 Twitter  	2023	Calmness
 Confusion reigns as I try to make sense of recent events.	 Instagram 	2023	Confusion
 Excitement building up for a surprise birthday party.   	 Facebook 	2023	Excitement
 Witnessed an act of kindness that made my day.          	 Twitter  	2023	Kindness
 Pride in completing a challenging fitness challenge.    	 Instagram 	2023	Pride
 A moment of shame for not speaking up against injustice.	 Facebook 	2023	Shame
 Reflecting on the beauty of diversity in our world.     	 Twitter  	2023	Acceptance
 Excitement for a quiet evening with a good book.        	 Instagram 	2023	Excitement
 Feeling bitter about the unfairness in the workplace.   	 Twitter  	2023	Bitter
 Calmness prevails as I practice mindfulness.            	 Facebook 	2023	Calmness
 Confusion surrounds me as I navigate through life's choices. 	 Instagram 	2023	Confusion
 Excitement for a weekend road trip to explore new places. 	 Twitter  	2023	Excitement
 Kindness witnessed today restores my faith in humanity.  	 Facebook 	2023	Kindness
 Pride in accomplishing personal and professional goals.  	 Instagram 	2023	Pride
 Shame for not being true to my values in a difficult situation.	 Twitter  	2023	Shame
 Revisiting old memories, feeling a sense of elation. 	 Twitter  	2010	Elation
 The victory of our team brought euphoria to the city. 	 Instagram 	2021	Euphoria
 Embracing the beauty of nature, a moment of contentment. 	 Facebook 	2011	Contentment
 Meditating by the serene lake, finding inner peace.   	 Twitter  	2022	Serenity
 Overflowing with gratitude for life's blessings.      	 Instagram 	2012	Gratitude
 Hopeful for a brighter tomorrow, despite challenges.  	 Facebook 	2013	Hope
 Empowered to make a difference in my community.        	 Twitter  	2014	Empowerment
 Compassion in action: supporting a local charity event. 	 Instagram 	2015	Compassion
 A moment of tenderness, connecting with loved ones.    	 Facebook 	2016	Tenderness
 Arousal of excitement as I await a special announcement.	 Twitter  	2017	Arousal
 Enthusiastically diving into a new project.            	 Instagram 	2018	Enthusiasm
 Feeling a sense of fulfillment after reaching a milestone.	 Facebook 	2019	Fulfillment
 Reverence for the beauty of a historic landmark.       	 Twitter  	2019	Reverence
 Elation after a surprise reunion with old friends.    	 Instagram 	2020	Elation
 The euphoria of a live music concert under the stars.  	 Facebook 	2021	Euphoria
 Contentment in the simplicity of a quiet Sunday.       	 Twitter  	2010	Contentment
 Serenity found in the pages of a favorite book.        	 Instagram 	2011	Serenity
 Gratitude for the support received during tough times. 	 Facebook 	2012	Gratitude
 Hopeful about the possibilities of a new journey.      	 Twitter  	2013	Hope
 Empowerment through learning and personal growth.      	 Instagram 	2014	Empowerment
 Compassion towards those in need during the holidays.  	 Facebook 	2015	Compassion
 Tenderness in the warmth of a cozy winter evening.     	 Twitter  	2016	Tenderness
 Arousal of excitement for an upcoming adventure.       	 Instagram 	2017	Arousal
 Enthusiasm for a creative project in the making.       	 Facebook 	2018	Enthusiasm
 Fulfillment in completing a challenging workout routine.	 Twitter  	2019	Fulfillment
 Reverence for the artistry displayed in a museum.      	 Instagram 	2020	Reverence
 Elation after achieving a personal goal.               	 Facebook 	2021	Elation
 Elation over discovering a hidden gem in the city.   	 Twitter  	2012	Elation
 The euphoria of a surprise birthday celebration.     	 Instagram 	2018	Euphoria
 Contentment in the simplicity of a home-cooked meal. 	 Facebook 	2015	Contentment
 Serenity found in the melody of a peaceful piano.    	 Twitter  	2016	Serenity
 Gratitude for the supportive community around me.    	 Instagram 	2013	Gratitude
 Hopeful about the prospects of a new business venture.	 Facebook 	2017	Hope
 Empowerment through mentoring and guiding others.    	 Twitter  	2014	Empowerment
 Compassion shown through acts of kindness in the community.	 Instagram 	2019	Compassion
 Tenderness in a heartfelt message to a loved one.    	 Facebook 	2016	Tenderness
 Arousal of excitement before a much-awaited trip.    	 Twitter  	2018	Arousal
 Enthusiasm for a new artistic project in the works.  	 Instagram 	2020	Enthusiasm
 Feeling a sense of fulfillment after helping others. 	 Facebook 	2011	Fulfillment
 Reverence for the historical significance of a landmark.	 Twitter  	2017	Reverence
 Elation after achieving a fitness milestone.         	 Instagram 	2019	Elation
 The euphoria of a successful product launch.         	 Facebook 	2022	Euphoria
 Contentment in the embrace of a loved one.           	 Twitter  	2010	Contentment
 Serenity found in the beauty of a sunset by the sea.  	 Instagram 	2011	Serenity
 Gratitude for the small joys that each day brings.   	 Facebook 	2012	Gratitude
 Hopeful about the potential for personal growth.      	 Twitter  	2013	Hope
 Empowerment through learning a new skill.            	 Instagram 	2014	Empowerment
 Compassion in volunteering for a local charity.       	 Facebook 	2015	Compassion
 Tenderness in a quiet moment shared with a pet.      	 Twitter  	2016	Tenderness
 Arousal of excitement for an upcoming festival.       	 Instagram 	2017	Arousal
 Enthusiasm for a DIY home improvement project.       	 Facebook 	2018	Enthusiasm
 Fulfillment in completing a challenging puzzle.      	 Twitter  	2019	Fulfillment
 Reverence for the wonders of nature on a hiking trail.	 Instagram 	2020	Reverence
 Elation after a surprise reunion with a childhood friend.	 Facebook 	2021	Elation
 Suffering from despair after another setback.      	 Twitter  	2021	Despair
 Overwhelmed by grief, missing a loved one dearly.  	 Instagram 	2022	Grief
 Loneliness creeps in as the night grows colder.    	 Facebook 	2019	Loneliness
 Jealousy consumes me as I witness others' success. 	 Twitter  	2020	Jealousy
 Resentment building up over past betrayals.        	 Instagram 	2018	Resentment
 Frustration mounts as obstacles block my path.     	 Facebook 	2017	Frustration
 Boredom sets in, the day feels endlessly dull.     	 Twitter  	2016	Boredom
 Anxiety grips my heart, worry clouds my thoughts.  	 Instagram 	2019	Anxiety
 Intimidation by the unknown future ahead.          	 Facebook 	2021	Intimidation
 Helplessness sinks in as challenges pile up.       	 Twitter  	2020	Helplessness
 Envy eats away at me as I see others' prosperity.  	 Instagram 	2018	Envy
 Regret over missed opportunities haunts my thoughts.	 Facebook 	2017	Regret
 Disgust at the sight of injustice and cruelty.     	 Twitter  	2019	Disgust
 Drowning in despair, hope slipping through my fingers.	 Instagram 	2016	Despair
 Grief weighs heavy, tears a constant companion.    	 Facebook 	2015	Grief
 Loneliness in a crowded room, a silent cry for connection.	 Twitter  	2019	Loneliness
 Jealousy gnaws at my confidence, a toxic emotion.  	 Instagram 	2018	Jealousy
 Resentment festers, poisoning relationships.       	 Facebook 	2022	Resentment
 Frustration boils over, a volcanic eruption of emotions.	 Twitter  	2017	Frustration
 Boredom settles like dust, life feels mundane.     	 Instagram 	2016	Boredom
 Anxiety grips my chest, a relentless grip on my thoughts.	 Facebook 	2018	Anxiety
 Intimidation by the challenges ahead, fear takes hold.	 Twitter  	2021	Intimidation
 Helplessness engulfs me, drowning in a sea of problems.	 Instagram 	2019	Helplessness
 Envy poisons my thoughts, coveting others' success.	 Facebook 	2017	Envy
 Regret for decisions that led to a painful present.	 Twitter  	2018	Regret
 Disgust at the corruption that stains society.     	 Instagram 	2016	Disgust
 Sinking in despair, each day darker than the last. 	 Facebook 	2020	Despair
 Grief overwhelms, a storm of emotions within.      	 Twitter  	2021	Grief
 Loneliness echoes in empty spaces, yearning for connection.	 Instagram 	2019	Loneliness
 Jealousy poisons my thoughts, resentment brewing within.	 Facebook 	2018	Jealousy
 Resentment festers, a wound that refuses to heal.  	 Twitter  	2017	Resentment
 Frustration escalates, a thunderstorm of emotions. 	 Instagram 	2022	Frustration
 Boredom lingers, a stagnant pool of indifference.  	 Facebook 	2021	Boredom
 Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. 	 Twitter  	2023	Curiosity
 Lost in the vast sea of information, an indifferent wave in the digital ocean. 	 Instagram 	2022	Indifference
 The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. 	 Facebook 	2020	Confusion
 A numbness settles over me, a shield against the overwhelming emotions life throws my way. 	 Twitter  	2021	Numbness
 Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. 	 Instagram 	2019	Melancholy
 Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. 	 Facebook 	2018	Nostalgia
 Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. 	 Twitter  	2022	Ambivalence
 Embracing the ebb and flow of life, finding acceptance in the dance of existence. 	 Instagram 	2023	Acceptance
 Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. 	 Facebook 	2020	Determination
 Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. 	 Twitter  	2021	Serenity
 Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. 	 Instagram 	2022	Curiosity
 Floating through the day with an air of indifference, detached from the mundane happenings around. 	 Facebook 	2023	Indifference
 Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. 	 Twitter  	2021	Confusion
 Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. 	 Instagram 	2019	Numbness
 Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. 	 Facebook 	2020	Melancholy
 Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. 	 Twitter  	2018	Nostalgia
 A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. 	 Instagram 	2022	Ambivalence
 Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. 	 Facebook 	2021	Acceptance
 Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. 	 Twitter  	2019	Determination
 Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. 	 Instagram 	2020	Serenity
 Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. 	 Facebook 	2022	Curiosity
 Drifting through the day with a nonchalant demeanor, embracing the art of indifference. 	 Twitter  	2023	Indifference
 Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. 	 Instagram 	2020	Confusion
 Immersed in a state of emotional numbness, a shield against the storm of daily struggles. 	 Facebook 	2021	Numbness
 A melancholic symphony playing in the background, the soundtrack of a wistful heart. 	 Twitter  	2019	Melancholy
 Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. 	 Instagram 	2017	Nostalgia
 Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. 	 Facebook 	2022	Ambivalence
 Embracing life's imperfections, finding acceptance in the journey, scars and all. 	 Twitter  	2023	Acceptance
 A fiery determination burning within, fueled by the vision of reaching unparalleled heights. 	 Instagram 	2021	Determination
 Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. 	 Facebook 	2020	Serenity
 Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. 	 Instagram 	2023	Indifference
 Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. 	 Facebook 	2021	Confusion
 An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. 	 Twitter  	2019	Numbness
 Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. 	 Instagram 	2020	Melancholy
 A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. 	 Facebook 	2018	Nostalgia
 Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. 	 Twitter  	2022	Ambivalence
 Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. 	 Instagram 	2021	Acceptance
 Determination as the driving force, propelling me forward on the path to extraordinary achievements. 	 Facebook 	2019	Determination
 Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. 	 Twitter  	2020	Serenity
 Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. 	 Instagram 	2022	Curiosity
 Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. 	 Facebook 	2023	Indifference
 Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. 	 Twitter  	2020	Confusion
 Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. 	 Instagram 	2021	Numbness
 Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. 	 Facebook 	2019	Melancholy
 Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. 	 Twitter  	2017	Nostalgia
 Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. 	 Instagram 	2022	Ambivalence
 Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. 	 Facebook 	2023	Acceptance
 Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. 	 Twitter  	2021	Determination
 Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. 	 Instagram 	2020	Serenity
 Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. 	 Facebook 	2022	Curiosity
Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. 	 Instagram 	2021	Numbness
 Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. 	 Twitter 	2018	Zest
 Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. 	 Facebook 	2020	Contentment
 Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. 	 Instagram 	2022	Hopeful
 Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. 	 Twitter 	2019	Proud
 A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. 	 Facebook 	2023	Grateful
 Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. 	 Instagram 	2018	Empathetic
 Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. 	 Twitter 	2022	Compassionate
 Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. 	 Facebook 	2020	Playful
 Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. 	 Instagram 	2021	FreeSpirit
 Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. 	 Twitter 	2019	Inspired
 Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. 	 Facebook 	2023	Hopeful
 Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. 	 Instagram 	2022	Confident
 Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. 	 Twitter 	2021	Serenity
 Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. 	 Instagram 	2020	Curiosity
 In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. 	 Facebook 	2019	Ambivalence
 Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. 	 Twitter 	2022	Grateful
 With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. 	 Instagram 	2023	Zest
 A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. 	 Facebook 	2021	Compassionate
 Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. 	 Twitter 	2020	Proud
 Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. 	 Instagram 	2022	Hopeful
 A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. 	 Facebook 	2018	Playful
 Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. 	 Twitter 	2021	Inspired
 Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. 	 Instagram 	2019	Contentment
 With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. 	 Facebook 	2023	Empathetic
 A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. 	 Twitter 	2020	FreeSpirit
 Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. 	 Instagram 	2022	Grateful
 Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. 	 Facebook 	2021	Confident
 Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. 	 Twitter 	2023	Hopeful
 Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. 	 Instagram 	2019	Playful
 Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. 	 Facebook 	2020	Inspired
 Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. 	 Twitter 	2022	Hopeful
 A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. 	 Instagram 	2021	Compassionate
 Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. 	 Twitter 	2020	Proud
 Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. 	 Instagram 	2022	Hopeful
 A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. 	 Facebook 	2018	Playful
 Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. 	 Twitter 	2021	Inspired
 Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. 	 Instagram 	2019	Contentment
 With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. 	 Facebook 	2023	Empathetic
 A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. 	 Twitter 	2020	FreeSpirit
 Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. 	 Instagram 	2022	Grateful
 Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. 	 Facebook 	2021	Confident
 Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. 	 Twitter 	2023	Hopeful
 Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. 	 Instagram 	2019	Playful
 Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. 	 Facebook 	2020	Inspired
 Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. 	 Twitter 	2022	Hopeful
 A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. 	 Instagram 	2021	Compassionate
 Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. 	 Twitter 	2020	Proud
 Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. 	 Instagram 	2022	Hopeful
 A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. 	 Facebook 	2018	Playful
 Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. 	 Instagram 	2021	Despair
 Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. 	 Facebook 	2019	Bitterness
 Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. 	 Twitter 	2017	Loneliness
 Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. 	 Instagram 	2020	Yearning
 Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. 	 Facebook 	2022	Fearful
 Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. 	 Twitter 	2023	Apprehensive
 Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. 	 Instagram 	2021	Overwhelmed
 Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success. 	 Facebook 	2019	Jealous
 Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. 	 Twitter 	2022	Devastated
 Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. 	 Instagram 	2020	Frustrated
 Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach. 	 Facebook 	2021	Envious
 Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition. 	 Twitter 	2018	Dismissive
 Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. 	 Instagram 	2022	Frustrated
 Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. 	 Facebook 	2019	Loneliness
 Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. 	 Twitter 	2023	Fearful
 Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. 	 Instagram 	2020	Bitterness
 Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat. 	 Facebook 	2021	Overwhelmed
 Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent. 	 Twitter 	2019	Jealous
 Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. 	 Instagram 	2022	Devastated
 Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand. 	 Facebook 	2020	Frustrated
 Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights. 	 Twitter 	2021	Envious
 Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. 	 Instagram 	2018	Dismissive
 Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness. 	 Facebook 	2022	Despair
 Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory. 	 Twitter 	2019	Bitterness
 Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces. 	 Instagram 	2017	Loneliness
 Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon. 	 Facebook 	2020	Yearning
